Año,Clave Región,Región hidrológica,Descripcion,RHA,Clave RHA,Nombre de cuenca,Clave cuenca,Parámetro,Unidad de medida,Cantidad
2009,24,Pánuco,Desde los túneles de Tequixquiac hasta la confluencia del Río Salado con el Río Tula.,Aguas del Valle de México,XIII,Río Salado,2674,DisponibilidadMediaAnual,hm³,10.31
2010,24,Pánuco,Desde los túneles de Tequixquiac hasta la confluencia del Río Salado con el Río Tula.,Aguas del Valle de México,XIII,Río Salado,2674,DisponibilidadMediaAnual,hm³,10.31
2011,24,Pánuco,Desde los túneles de Tequixquiac hasta la confluencia del Río Salado con el Río Tula.,Aguas del Valle de México,XIII,Río Salado,2674,DisponibilidadMediaAnual,hm³,3.1
2012,24,Pánuco,Desde los túneles de Tequixquiac hasta la confluencia del Río Salado con el Río Tula.,Aguas del Valle de México,XIII,Río Salado,2674,DisponibilidadMediaAnual,hm³,3.1
2013,24,Pánuco,Desde los túneles de Tequixquiac hasta la confluencia del Río Salado con el Río Tula.,Aguas del Valle de México,XIII,Río Salado,2674,DisponibilidadMediaAnual,hm³,3.1
2014,24,Pánuco,Desde los túneles de Tequixquiac hasta la confluencia del Río Salado con el Río Tula.,Aguas del Valle de México,XIII,Río Salado,2674,DisponibilidadMediaAnual,hm³,3.1
2015,24,Pánuco,"Salado: Desde donde se localizan los túneles de Tequixquiac, hasta la confluencia del Río Salado con el Río Tula.",Aguas del Valle de México,XIII,Río Salado,2674,DisponibilidadMediaAnual,hm³,3.1
2016,24,Pánuco,"Salado: Desde donde se localizan los túneles de Tequixquiac, hasta la confluencia del Río Salado con el Río Tula.",Aguas del Valle de México,XIII,Río Salado,2674,DisponibilidadMediaAnual,hm³,2.92359
2017,24,Pánuco,"Río Colipa: Desde su nacimiento, hasta su desembocadura en el Golfo de México ",Aguas del Valle de México,XIII,Río Salado,2674,DisponibilidadMediaAnual,hm³,2.92359
2018,24,Pánuco,"Salado: Desde donde se localizan los túneles de Tequixquiac, hasta la confluencia del Río Salado con el Río Tula.",Aguas del Valle de México,XIII,Río Salado,2674,DisponibilidadMediaAnual,hm³,2.92359
2019,24,Pánuco,"Desde la confluencia de los ríos Zanapa y Coacajapa, hasta la confluencia del Río Coacajapa con la Laguna El Rosario.",Aguas del Valle de México,XIII,Río Salado,2674,DisponibilidadMediaAnual,hm³,2.92359
2020,24,Pánuco,"Desde donde se localizan los túneles de Tequixquiac, hasta la confluencia del Río Salado con el Río Tula.",Aguas del Valle de México,XIII,Río Salado,2674,DisponibilidadMediaAnual,hm³,2.802
2021,24,Pánuco,"Desde donde se localizan los túneles de Tequixquiac, hasta la confluencia del Río Salado con el Río Tula.",Aguas del Valle de México,XIII,Río Salado,2674,DisponibilidadMediaAnual,hm³,2.802
2022,24,Pánuco,"Desde donde se localizan los túneles de Tequixquiac, hasta la confluencia del Río Salado con el Río Tula.",Aguas del Valle de México,XIII,Río Salado,2674,DisponibilidadMediaAnual,hm³,2.802
,,,,,,,,,,
2008,24,Pánuco,"Desde la Presa Endhó y las confluencias de los ríos Salado, Actopán y Alfajayucan con el Río Tula, hasta la descarga de este último al embalse de la Presa Zimapán.",Aguas del Valle de México,XIII,Río Tula,2677,DisponibilidadMediaAnual,hm³,24.79
2009,24,Pánuco,"Desde la Presa Endhó y las confluencias de los ríos Salado, Actopán y Alfajayucan con el Río Tula, hasta la descarga de este último al embalse de la Presa Zimapán.",Aguas del Valle de México,XIII,Río Tula,2677,DisponibilidadMediaAnual,hm³,24.79
2010,24,Pánuco,"Desde la Presa Endhó y las confluencias de los ríos Salado, Actopán y Alfajayucan con el Río Tula, hasta la descarga de este último al embalse de la Presa Zimapán.",Aguas del Valle de México,XIII,Río Tula,2677,DisponibilidadMediaAnual,hm³,24.79
2011,24,Pánuco,"Desde la Presa Endhó y las confluencias de los ríos Salado, Actopán y Alfajayucan con el Río Tula, hasta la descarga de este último al embalse de la Presa Zimapán.",Aguas del Valle de México,XIII,Río Tula,2677,DisponibilidadMediaAnual,hm³,11.81
2012,24,Pánuco,"Desde la Presa Endhó y las confluencias de los ríos Salado, Actopán y Alfajayucan con el Río Tula, hasta la descarga de este último al embalse de la Presa Zimapán.",Aguas del Valle de México,XIII,Río Tula,2677,DisponibilidadMediaAnual,hm³,11.81
2013,24,Pánuco,"Desde la Presa Endhó y las confluencias de los ríos Salado, Actopán y Alfajayucan con el Río Tula, hasta la descarga de este último al embalse de la Presa Zimapán.",Aguas del Valle de México,XIII,Río Tula,2677,DisponibilidadMediaAnual,hm³,11.81
2014,24,Pánuco,"Desde la Presa Endhó y las confluencias de los ríos Salado, Actopán y Alfajayucan con el Río Tula, hasta la descarga de este último al embalse de la Presa Zimapán.",Aguas del Valle de México,XIII,Río Tula,2677,DisponibilidadMediaAnual,hm³,11.81
2015,24,Pánuco,"Tula: Desde donde se localiza la Presa Endhó y las confluencias de los ríos Salado, Actopan y Alfajayucan con el Río Tula, hasta la Presa Zimapán.",Aguas del Valle de México,XIII,Río Tula,2677,DisponibilidadMediaAnual,hm³,11.81
2016,24,Pánuco,"Tula: Desde donde se localiza la Presa Endhó y las confluencias de los ríos Salado, Actopan y Alfajayucan con el Río Tula, hasta la Presa Zimapán.",Aguas del Valle de México,XIII,Río Tula,2677,DisponibilidadMediaAnual,hm³,11.0318
2017,24,Pánuco,"Río Grande: Desde su nacimiento hasta, su confluencia con el Río Salado",Aguas del Valle de México,XIII,Río Tula,2677,DisponibilidadMediaAnual,hm³,11.0318
2018,24,Pánuco,"Tula: Desde donde se localiza la Presa Endhó y las confluencias de los ríos Salado, Actopan y Alfajayucan con el Río Tula, hasta la Presa Zimapán.",Aguas del Valle de México,XIII,Río Tula,2677,DisponibilidadMediaAnual,hm³,11.0318
2019,24,Pánuco,"Desde el nacimiento del Río Santa Anita, hasta su desembocadura en el Golfo de México.",Aguas del Valle de México,XIII,Río Tula,2677,DisponibilidadMediaAnual,hm³,11.0318
2020,24,Pánuco,"Desde donde se localiza la Presa Endhó y las confluencias de los ríos Salado, Actopan y Alfajayucan con el Río Tula, hasta la Presa Zimapán.",Aguas del Valle de México,XIII,Río Tula,2677,DisponibilidadMediaAnual,hm³,10.136
2021,24,Pánuco,"Desde donde se localiza la Presa Endhó y las confluencias de los ríos Salado, Actopan y Alfajayucan con el Río Tula, hasta la Presa Zimapán.",Aguas del Valle de México,XIII,Río Tula,2677,DisponibilidadMediaAnual,hm³,10.136
2022,24,Pánuco,"Desde donde se localiza la Presa Endhó y las confluencias de los ríos Salado, Actopan y Alfajayucan con el Río Tula, hasta la Presa Zimapán.",Aguas del Valle de México,XIII,Río Tula,2677,DisponibilidadMediaAnual,hm³,10.136
,,,,,,,,,,
2008,24,Pánuco,"Desde el nacimiento de los ríos Coatepec, Santa Mónica, San Bernardino, Chapingo, Texcoco y San Juan Teotihuacán, entre otros hasta la zona del Exlago de Texcoco.",Aguas del Valle de México,XIII,Texcoco,2669,DisponibilidadMediaAnual,hm³,0.37
2009,24,Pánuco,"Desde el nacimiento de los ríos Coatepec, Santa Mónica, San Bernardino, Chapingo, Texcoco y San Juan Teotihuacán, entre otros hasta la zona del Exlago de Texcoco.",Aguas del Valle de México,XIII,Texcoco,2669,DisponibilidadMediaAnual,hm³,0.37
2010,24,Pánuco,"Desde el nacimiento de los ríos Coatepec, Santa Mónica, San Bernardino, Chapingo, Texcoco y San Juan Teotihuacán, entre otros hasta la zona del Exlago de Texcoco.",Aguas del Valle de México,XIII,Texcoco,2669,DisponibilidadMediaAnual,hm³,0.37
2011,24,Pánuco,"Desde el nacimiento de los ríos Coatepec, Santa Mónica, San Bernardino, Chapingo, Texcoco y San Juan Teotihuacán, entre otros hasta la zona del Exlago de Texcoco.",Aguas del Valle de México,XIII,Texcoco,2669,DisponibilidadMediaAnual,hm³,0.1
2012,24,Pánuco,"Desde el nacimiento de los ríos Coatepec, Santa Mónica, San Bernardino, Chapingo, Texcoco y San Juan Teotihuacán, entre otros hasta la zona del Exlago de Texcoco.",Aguas del Valle de México,XIII,Texcoco,2669,DisponibilidadMediaAnual,hm³,0.1
2013,24,Pánuco,"Desde el nacimiento de los ríos Coatepec, Santa Mónica, San Bernardino, Chapingo, Texcoco y San Juan Teotihuacán, entre otros hasta la zona del Exlago de Texcoco.",Aguas del Valle de México,XIII,Texcoco,2669,DisponibilidadMediaAnual,hm³,0.1
2014,24,Pánuco,"Desde el nacimiento de los ríos Coatepec, Santa Mónica, San Bernardino, Chapingo, Texcoco y San Juan Teotihuacán, entre otros hasta la zona del Exlago de Texcoco.",Aguas del Valle de México,XIII,Texcoco,2669,DisponibilidadMediaAnual,hm³,0.1
2015,24,Pánuco,"Texcoco: Desde el nacimiento de los ríos Coatepec, Santa Mónica, San Bernardino, Chapingo, Texcoco y San Juan Teotihuacán, entre otros, hasta la zona del Ex-lago de Texcoco.",Aguas del Valle de México,XIII,Texcoco,2669,DisponibilidadMediaAnual,hm³,0.1
2016,24,Pánuco,"Texcoco: Desde el nacimiento de los ríos Coatepec, Santa Mónica, San Bernardino, Chapingo, Texcoco y San Juan Teotihuacán, entre otros, hasta la zona del Ex-lago de Texcoco.",Aguas del Valle de México,XIII,Texcoco,2669,DisponibilidadMediaAnual,hm³,0.107974
2017,24,Pánuco,"Río Tuxpan: Desde su nacimiento, hasta su desembocadura en el Golfo de México ",Aguas del Valle de México,XIII,Texcoco,2669,DisponibilidadMediaAnual,hm³,0.107974
2018,24,Pánuco,"Texcoco: Desde el nacimiento de los ríos Coatepec, Santa Mónica, San Bernardino, Chapingo, Texcoco y San Juan Teotihuacán, entre otros, hasta la zona del Ex-lago de Texcoco.",Aguas del Valle de México,XIII,Texcoco,2669,DisponibilidadMediaAnual,hm³,0.107974
2019,24,Pánuco,"Desde donde se localizan las EH El Tejar y Paso del Toro, hasta su desembocadura en el Golfo de México",Aguas del Valle de México,XIII,Texcoco,2669,DisponibilidadMediaAnual,hm³,0.107974
2020,24,Pánuco,"Desde el nacimiento de los ríos Coatepec, Santa Mónica, San Bernardino, Chapingo, Texcoco y San Juan Teotihuacán, entre otros, hasta la zona del Ex-lago de Texcoco.",Aguas del Valle de México,XIII,Texcoco,2669,DisponibilidadMediaAnual,hm³,0.058
2021,24,Pánuco,"Desde el nacimiento de los ríos Coatepec, Santa Mónica, San Bernardino, Chapingo, Texcoco y San Juan Teotihuacán, entre otros, hasta la zona del Ex-lago de Texcoco.",Aguas del Valle de México,XIII,Texcoco,2669,DisponibilidadMediaAnual,hm³,0.058
2022,24,Pánuco,"Desde el nacimiento de los ríos Coatepec, Santa Mónica, San Bernardino, Chapingo, Texcoco y San Juan Teotihuacán, entre otros, hasta la zona del Ex-lago de Texcoco.",Aguas del Valle de México,XIII,Texcoco,2669,DisponibilidadMediaAnual,hm³,0.058
,,,,,,,,,,
2008,24,Pánuco,Desde el nacimiento de arroyos que bajan de los cerros Tultenango y Paila hasta el Río de las Avenidas de Pachuca.,Aguas del Valle de México,XIII,Tochac-Tecocomulco,2667,DisponibilidadMediaAnual,hm³,0.18
2009,24,Pánuco,Desde el nacimiento de arroyos que bajan de los cerros Tultenango y Paila hasta el Río de las Avenidas de Pachuca.,Aguas del Valle de México,XIII,Tochac-Tecocomulco,2667,DisponibilidadMediaAnual,hm³,0.18
2010,24,Pánuco,Desde el nacimiento de arroyos que bajan de los cerros Tultenango y Paila hasta el Río de las Avenidas de Pachuca.,Aguas del Valle de México,XIII,Tochac-Tecocomulco,2667,DisponibilidadMediaAnual,hm³,0.18
2011,24,Pánuco,Desde el nacimiento de arroyos que bajan de los cerros Tultenango y Paila hasta el Río de las Avenidas de Pachuca.,Aguas del Valle de México,XIII,Tochac-Tecocomulco,2667,DisponibilidadMediaAnual,hm³,0.04
2012,24,Pánuco,Desde el nacimiento de arroyos que bajan de los cerros Tultenango y Paila hasta el Río de las Avenidas de Pachuca.,Aguas del Valle de México,XIII,Tochac-Tecocomulco,2667,DisponibilidadMediaAnual,hm³,0.04
2013,24,Pánuco,Desde el nacimiento de arroyos que bajan de los cerros Tultenango y Paila hasta el Río de las Avenidas de Pachuca.,Aguas del Valle de México,XIII,Tochac-Tecocomulco,2667,DisponibilidadMediaAnual,hm³,0.04
2014,24,Pánuco,Desde el nacimiento de arroyos que bajan de los cerros Tultenango y Paila hasta el Río de las Avenidas de Pachuca.,Aguas del Valle de México,XIII,Tochac-Tecocomulco,2667,DisponibilidadMediaAnual,hm³,0.04
2015,24,Pánuco,"Tochac-Tecocomulco:Desde el nacimiento de arroyos que bajan de los cerros Tultenango y Paila, hasta su confluencia con el Río de las Avenidas de Pachuca.",Aguas del Valle de México,XIII,Tochac-Tecocomulco,2667,DisponibilidadMediaAnual,hm³,0.04
2016,24,Pánuco,"Tochac-Tecocomulco:Desde el nacimiento de arroyos que bajan de los cerros Tultenango y Paila, hasta su confluencia con el Río de las Avenidas de Pachuca.",Aguas del Valle de México,XIII,Tochac-Tecocomulco,2667,DisponibilidadMediaAnual,hm³,0.0375572
2017,24,Pánuco,"Arroyo Carbajal: Desde su nacimiento, hasta su desembocadura en la Laguna de Tamiahua. ",Aguas del Valle de México,XIII,Tochac-Tecocomulco,2667,DisponibilidadMediaAnual,hm³,0.0375572
2018,24,Pánuco,"Tochac-Tecocomulco:Desde el nacimiento de arroyos que bajan de los cerros Tultenango y Paila, hasta su confluencia con el Río de las Avenidas de Pachuca.",Aguas del Valle de México,XIII,Tochac-Tecocomulco,2667,DisponibilidadMediaAnual,hm³,0.0375572
2019,24,Pánuco,"Desde su nacimiento, hasta la EH El Tejar",Aguas del Valle de México,XIII,Tochac-Tecocomulco,2667,DisponibilidadMediaAnual,hm³,0.0375572
2020,24,Pánuco,"Desde el nacimiento de arroyos que bajan de los cerros Tultenango y Paila, hasta su confluencia con el Río de las Avenidas de Pachuca.",Aguas del Valle de México,XIII,Tochac-Tecocomulco,2667,DisponibilidadMediaAnual,hm³,0.022
2021,24,Pánuco,"Desde el nacimiento de arroyos que bajan de los cerros Tultenango y Paila, hasta su confluencia con el Río de las Avenidas de Pachuca.",Aguas del Valle de México,XIII,Tochac-Tecocomulco,2667,DisponibilidadMediaAnual,hm³,0.022
2022,24,Pánuco,"Desde el nacimiento de arroyos que bajan de los cerros Tultenango y Paila, hasta su confluencia con el Río de las Avenidas de Pachuca.",Aguas del Valle de México,XIII,Tochac-Tecocomulco,2667,DisponibilidadMediaAnual,hm³,0.022
,,,,,,,,,,
2008,24,Pánuco,Desde el nacimiento del Río San Buenaventura hasta su conexión con el Canal Nacional.,Aguas del Valle de México,XIII,Xochimilco,2665,DisponibilidadMediaAnual,hm³,1.4
2009,24,Pánuco,Desde el nacimiento del Río San Buenaventura hasta su conexión con el Canal Nacional.,Aguas del Valle de México,XIII,Xochimilco,2665,DisponibilidadMediaAnual,hm³,1.4
2010,24,Pánuco,Desde el nacimiento del Río San Buenaventura hasta su conexión con el Canal Nacional.,Aguas del Valle de México,XIII,Xochimilco,2665,DisponibilidadMediaAnual,hm³,1.4
2011,24,Pánuco,Desde el nacimiento del Río San Buenaventura hasta su conexión con el Canal Nacional.,Aguas del Valle de México,XIII,Xochimilco,2665,DisponibilidadMediaAnual,hm³,0.16
2012,24,Pánuco,Desde el nacimiento del Río San Buenaventura hasta su conexión con el Canal Nacional.,Aguas del Valle de México,XIII,Xochimilco,2665,DisponibilidadMediaAnual,hm³,0.16
2013,24,Pánuco,Desde el nacimiento del Río San Buenaventura hasta su conexión con el Canal Nacional.,Aguas del Valle de México,XIII,Xochimilco,2665,DisponibilidadMediaAnual,hm³,0.16
2014,24,Pánuco,Desde el nacimiento del Río San Buenaventura hasta su conexión con el Canal Nacional.,Aguas del Valle de México,XIII,Xochimilco,2665,DisponibilidadMediaAnual,hm³,0.16
2015,24,Pánuco,"Xochimilco: Desde el nacimiento del Río San Buenaventura, hasta su confluencia con el Canal Nacional.",Aguas del Valle de México,XIII,Xochimilco,2665,DisponibilidadMediaAnual,hm³,0.16
2016,24,Pánuco,"Xochimilco: Desde el nacimiento del Río San Buenaventura, hasta su confluencia con el Canal Nacional.",Aguas del Valle de México,XIII,Xochimilco,2665,DisponibilidadMediaAnual,hm³,0.148109
2017,24,Pánuco,"Río Tancochín: Desde su nacimiento y de sus afluentes, hasta su desembocadura en la Laguna de Tamiahua. ",Aguas del Valle de México,XIII,Xochimilco,2665,DisponibilidadMediaAnual,hm³,0.148109
2018,24,Pánuco,"Xochimilco: Desde el nacimiento del Río San Buenaventura, hasta su confluencia con el Canal Nacional.",Aguas del Valle de México,XIII,Xochimilco,2665,DisponibilidadMediaAnual,hm³,0.148109
2019,24,Pánuco,"Desde su nacimiento, hasta su desembocadura en el Golfo de México",Aguas del Valle de México,XIII,Xochimilco,2665,DisponibilidadMediaAnual,hm³,0.148109
2020,24,Pánuco,"Desde el nacimiento del Río San Buenaventura, hasta su confluencia con el Canal Nacional.",Aguas del Valle de México,XIII,Xochimilco,2665,DisponibilidadMediaAnual,hm³,0.083
2021,24,Pánuco,"Desde el nacimiento del Río San Buenaventura, hasta su confluencia con el Canal Nacional.",Aguas del Valle de México,XIII,Xochimilco,2665,DisponibilidadMediaAnual,hm³,0.083
2022,24,Pánuco,"Desde el nacimiento del Río San Buenaventura, hasta su confluencia con el Canal Nacional.",Aguas del Valle de México,XIII,Xochimilco,2665,DisponibilidadMediaAnual,hm³,0.083
